Designator,Mid X,Mid Y,Rotation,Layer
C1,43.1,51.25,90.0,top
C2,21.1,44.55,270.0,top
C3,14.625,44.5,90.0,top
C4,17.825,44.5,90.0,top
C5,16.675,5.45,180.0,top
C6,14.225,18.475,0.0,top
D1,13.85,28.075,0.0,top
D2,14.05,25.275,0.0,top
D3,42.355,16.7375,270.0,top
D4,15.025,21.075,90.0,top
J1,5.05,24.735,180.0,top
J2,4.925,43.125,0.0,top
J3,49.4,18.305,0.0,top
J4,55.2,18.46,0.0,top
J5,32.81,11.475,90.0,top
J6,8.475,7.655,0.0,top
J7,4.475,7.655,0.0,top
Q1,42.55,20.85,0.0,top
R1,17.25,28.275,0.0,top
R2,17.275,25.075,0.0,top
R3,52.625,36.275,0.0,top
R4,52.775,32.95,0.0,top
R5,43.15,47.5,90.0,top
R6,43.2,24.0625,0.0,top
R7,37.65,18.8375,270.0,top
R8,13.225,21.075,90.0,top
SW1,49.825,51.075,0.0,top
SW2,13.825,50.95,0.0,top
U1,48.825,37.145,0.0,top
U2,32.56,41.275,0.0,top
U3,16.6375,11.15,270.0,top
U4,29.3875,16.75,90.0,top
U5,56.775,37.57,0.0,top
